date,code,status,score,buy_price,sell_price,hold_ret,bench_hold_ret,excess_ret
2026-05-29,002160,跌破MA5观察,10,4.47,4.58,0.024608501118568382,0.009543508837986714,0.015064992280581668
2026-05-29,002969,跌破MA5观察,26,18.65,15.87,-0.14906166219839134,0.009543508837986714,-0.15860517103637806
2026-05-29,600717,趋势观察池,49,4.38,4.36,-0.004566210045662045,0.009543508837986714,-0.014109718883648759
2026-05-29,603159,跌破MA5观察,23,26.26,25.25,-0.03846153846153855,0.009543508837986714,-0.04800504729952526
2026-06-01,000001,趋势观察池,53,10.64,10.48,-0.015037593984962405,0.012486747190899816,-0.02752434117586222
2026-06-01,000002,回踩观察,20,3.47,3.21,-0.07492795389049,0.012486747190899816,-0.08741470108138982
2026-06-01,000006,跌破MA5观察,7,8.88,8.4,-0.05405405405405406,0.012486747190899816,-0.06654080124495387
2026-06-01,000007,跌破MA5观察,7,11.61,12.45,0.07235142118863047,0.012486747190899816,0.059864673997730655
2026-06-01,000008,回踩观察,24,2.61,2.57,-0.01532567049808431,0.012486747190899816,-0.027812417688984126
2026-06-01,000009,回踩观察,18,7.47,7.09,-0.05087014725568939,0.012486747190899816,-0.06335689444658921
2026-06-01,000011,回踩观察,28,7.55,7.2,-0.04635761589403964,0.012486747190899816,-0.058844363084939455
2026-06-01,000012,跌破MA5观察,15,4.16,4.2,0.009615384615384581,0.012486747190899816,-0.002871362575515235
2026-06-01,000014,回踩观察,15,11.19,10.47,-0.06434316353887393,0.012486747190899816,-0.07682991072977374
2026-06-01,000017,回踩观察,18,5.57,5.25,-0.05745062836624781,0.012486747190899816,-0.06993737555714763
2026-06-01,000019,趋势观察池,32,6.67,6.38,-0.04347826086956519,0.012486747190899816,-0.055965008060465005
2026-06-01,000020,回踩观察,15,12.75,12.35,-0.03137254901960784,0.012486747190899816,-0.04385929621050766
2026-06-01,000021,跌破MA5观察,15,36.22,39.45,0.08917725013804545,0.012486747190899816,0.07669050294714563
