date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2026-05-19,4.64,4.64,4.56,4.64,19481530.0,89744645.0,875774762.0,0.022244909131099166,,,
2026-05-20,4.61,4.85,4.6,4.83,53373189.0,255118236.0,875774762.0,0.060943967919459184,0.1900000000000004,4.094827586206895,5.387931034482759
2026-05-21,4.78,4.93,4.7,4.85,48867742.0,235879462.0,875774762.0,0.05579944081558267,0.019999999999999574,0.41407867494822614,4.761904761904752
2026-05-22,4.85,4.85,4.67,4.74,31509965.0,149376053.0,875774762.0,0.03597953077346159,-0.10999999999999943,-2.268041237113394,3.7113402061855614
2026-05-25,4.68,4.68,4.45,4.47,37010480.0,167342995.0,875774762.0,0.04226027239638586,-0.27000000000000046,-5.696202531645578,4.852320675105475
2026-05-26,4.45,4.46,4.25,4.31,23071182.0,99418492.0,875774762.0,0.02634373928213291,-0.16000000000000014,-3.579418344519014,4.697986577181208
2026-05-27,4.3,4.33,4.14,4.18,22922730.0,96266114.0,875774762.0,0.026174229944297026,-0.1299999999999999,-3.0162412993039456,4.408352668213467
2026-05-28,4.19,4.25,4.14,4.22,17902282.0,75166609.0,875774762.0,0.02044165095499749,0.040000000000000036,0.9569377990430672,2.631578947368429
2026-05-29,4.21,4.23,4.13,4.15,15079819.0,63036030.0,875774762.0,0.01721883257467061,-0.0699999999999994,-1.6587677725118377,2.36966824644551
2026-06-01,4.15,4.31,4.13,4.3,18038300.0,76784184.0,875774762.0,0.02059696257837583,0.14999999999999947,3.6144578313252795,4.337349397590354
2026-06-02,4.31,4.34,4.22,4.3,15484000.0,66168790.0,875774762.0,0.017680345074844714,0.0,0.0,2.7906976744186074
2026-06-03,4.29,4.3,4.21,4.27,13266130.0,56227338.0,875774762.0,0.015147878856093366,-0.03000000000000025,-0.6976744186046546,2.0930232558139505
2026-06-04,4.22,4.27,4.16,4.19,11845700.0,49743587.0,875774762.0,0.01352596639454198,-0.07999999999999918,-1.8735362997657878,2.576112412177973
2026-06-05,4.19,4.22,4.13,4.18,16003520.0,66895981.0,875774762.0,0.01827355696281186,-0.010000000000000675,-0.23866348448688957,2.1479713603818578
2026-06-08,4.13,4.18,4.04,4.07,12936000.0,52970709.0,875774762.0,0.014770921201769,-0.10999999999999943,-2.631578947368407,3.3492822966507103
2026-06-09,4.07,4.09,3.97,4.06,15376419.0,61970471.0,875774762.0,0.017557504129126753,-0.010000000000000675,-0.24570024570026439,2.94840294840294
2026-06-10,4.03,4.05,3.94,3.99,14918350.0,59475949.0,875774762.0,0.017034459826098528,-0.0699999999999994,-1.724137931034464,2.709359605911327
2026-06-11,3.97,4.06,3.95,4.02,13413100.0,53658717.0,875774762.0,0.015315695978003075,0.02999999999999936,0.7518796992481036,2.7568922305764265
2026-06-12,4.01,4.09,3.96,4.08,14647918.0,59310707.0,875774762.0,0.016725668100492714,0.0600000000000005,1.4925373134328401,3.233830845771142
2026-06-15,4.06,4.12,4.02,4.05,14028400.0,56970415.0,875774762.0,0.01601827388581449,-0.03000000000000025,-0.7352941176470673,2.450980392156876
2026-06-16,4.05,4.06,3.96,4.0,10419782.0,41580643.0,875774762.0,0.01189778748157166,-0.04999999999999982,-1.2345679012345623,2.469135802469127
2026-06-17,3.98,3.99,3.85,3.9,17524311.0,68439638.0,875774762.0,0.02001006624121009,-0.10000000000000009,-2.500000000000002,3.500000000000003
2026-06-18,3.88,3.95,3.83,3.93,12561200.0,48854998.0,875774762.0,0.014342957281977486,0.03000000000000025,0.7692307692307665,3.0769230769230798
