date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2023-03-06,53.87,53.99,53.12,53.42,2394847.0,130207639.0,457993141.00000006,0.005229001890226998,,,
2023-03-07,53.27,53.48,51.66,51.72,3302947.0,175866520.0,457993141.00000006,0.007211782676020468,-1.7000000000000028,-3.1823287158367686,3.406963684013479
2023-03-08,51.72,52.25,51.55,52.12,2094526.0,110501844.0,457993141.00000006,0.004573269362564536,0.3999999999999986,0.7733952049497228,1.353441608662032
2023-03-09,52.14,52.75,52.04,52.5,2316480.0,123514000.0,457993141.00000006,0.00505789234079381,0.38000000000000256,0.7290867229470477,1.3622409823484285
2023-03-10,52.13,54.7,52.04,53.28,5449890.0,297867382.0,457993141.00000006,0.01189950135082918,0.7800000000000011,1.4857142857142902,5.0666666666666735
2023-03-13,53.28,53.45,51.91,52.49,3364350.0,179023663.0,457993141.00000006,0.007345852369435375,-0.7899999999999991,-1.4827327327327278,2.890390390390402
2023-03-14,52.14,53.11,51.35,52.81,4297876.0,229120633.0,457993141.00000006,0.009384149270480013,0.3200000000000003,0.6096399314155176,3.353019622785289
2023-03-15,52.93,54.26,52.83,53.27,4168872.0,227004610.0,457993141.00000006,0.009102476929889218,0.46000000000000085,0.8710471501609529,2.7078204885438355
2023-03-16,53.03,54.3,52.79,53.71,4513826.0,246854369.0,457993141.00000006,0.009855662882077964,0.4399999999999977,0.8259808522620649,2.834616106626615
2023-03-17,53.93,55.46,53.93,55.03,5965831.0,332265222.0,457993141.00000006,0.013026026955281409,1.3200000000000003,2.457642897039647,2.848631539750514
2023-03-20,54.99,55.75,54.61,54.9,5241915.0,293766599.0,457993141.00000006,0.01144540066376234,-0.13000000000000256,-0.23623478102853257,2.071597310557878
2023-03-21,55.05,55.79,54.71,55.4,3730383.0,209670754.0,457993141.00000006,0.008145063028356575,0.5,0.9107468123861651,1.9672131147540954
2023-03-22,55.41,57.97,54.95,57.21,7621868.0,438173078.0,457993141.00000006,0.016641882416313303,1.8100000000000023,3.2671480144404352,5.45126353790613
2023-03-23,56.93,57.75,56.81,57.69,6271346.0,365251029.0,457993141.00000006,0.013693100264136924,0.4799999999999969,0.8390141583639155,1.6430693934626774
2023-03-24,57.54,58.15,56.62,57.53,5968064.0,348062725.0,457993141.00000006,0.01303090257415012,-0.1599999999999966,-0.2773444271104153,2.652106084243372
2023-03-27,57.52,59.02,57.06,57.79,6383652.0,376193308.0,457993141.00000006,0.01393831354343361,0.259999999999998,0.45193811924213456,3.4069181296714777
2023-03-28,57.53,58.17,56.18,56.19,6261720.0,362403780.0,457993141.00000006,0.013672082482126079,-1.6000000000000014,-2.7686450943069763,3.443502336044302
2023-03-29,56.42,57.12,55.99,56.47,4666912.0,268540596.0,457993141.00000006,0.010189916796155687,0.28000000000000114,0.4983093077060019,2.011033991813482
2023-03-30,56.76,57.04,55.78,56.17,4070451.0,233474712.0,457993141.00000006,0.008887580698506573,-0.29999999999999716,-0.5312555339118119,2.231273242429605
2023-03-31,56.17,56.46,55.3,55.91,4146007.0,235164077.0,457993141.00000006,0.00905255260143732,-0.2600000000000051,-0.4628805412141834,2.0651593377247703
2023-04-03,56.14,57.52,56.1,57.45,6369935.0,368348114.0,457993141.00000006,0.013908363313240097,1.5400000000000063,2.7544267572885195,2.5397961008764116
2023-04-04,57.35,60.39,57.08,58.83,11380742.0,681382131.0,457993141.00000006,0.024849153799881903,1.3799999999999955,2.402088772845934,5.761531766753702
2023-04-06,59.11,62.01,58.85,60.57,12738584.0,783494643.0,457993141.00000006,0.02781391872416709,1.740000000000002,2.9576746557878675,5.371409144994045
2023-04-07,60.59,60.95,59.2,59.93,8014422.0,487478794.0,457993141.00000006,0.017499000055985554,-0.6400000000000006,-1.0566286940729697,2.8892190853557866
2023-04-10,59.83,61.37,59.03,59.03,8578261.0,523658320.0,457993141.00000006,0.01873010801268746,-0.8999999999999986,-1.5017520440513854,3.9045553145336163
2023-04-11,59.06,60.6,58.88,59.7,7025882.0,425594498.0,457993141.00000006,0.015340583452100211,0.6700000000000017,1.135016093511787,2.9137726579705214
2023-04-12,59.97,60.63,59.15,60.22,6004420.0,366568397.0,457993141.00000006,0.013110283675623864,0.519999999999996,0.8710217755443894,2.47906197654942
2023-04-13,60.19,60.23,58.05,58.24,7476713.0,447570051.0,457993141.00000006,0.016324945355458934,-1.9799999999999969,-3.287944204583193,3.6200597808037194
2023-04-14,58.25,59.58,57.38,59.24,6477091.0,385815057.0,457993141.00000006,0.01414233188265149,1.0,1.717032967032961,3.7774725274725203
2023-04-17,58.65,59.38,58.04,58.47,4498101.0,268180059.0,457993141.00000006,0.009821328306748593,-0.7700000000000031,-1.2997974341661056,2.261985145172187
2023-04-18,58.48,58.52,56.74,57.24,5427355.0,316416175.0,457993141.00000006,0.011850297557185467,-1.2299999999999969,-2.1036428937916796,3.044296220283908
2023-04-19,57.16,57.94,56.4,56.53,5354767.0,310640822.0,457993141.00000006,0.01169180610065075,-0.7100000000000009,-1.2403913347309614,2.690426275331934
2023-04-20,56.36,57.06,56.05,56.4,4934288.0,283445738.0,457993141.00000006,0.01077371593213445,-0.13000000000000256,-0.22996638952769155,1.7866619494074032
2023-04-21,56.37,56.4,52.79,52.91,7929660.0,437706918.0,457993141.00000006,0.017313927415345286,-3.490000000000002,-6.1879432624113555,6.400709219858156
2023-04-24,52.65,53.39,51.67,52.28,4971470.0,266168075.0,457993141.00000006,0.010854900554067466,-0.6299999999999955,-1.1907011907011822,3.250803250803249
2023-04-25,52.13,52.51,49.32,49.91,6123689.0,314226089.0,457993141.00000006,0.013370700239373234,-2.3700000000000045,-4.533282325937272,6.101759755164495
2023-04-26,49.71,50.26,49.22,49.34,4035492.0,203608672.0,457993141.00000006,0.008811249861054141,-0.5699999999999932,-1.142055700260458,2.083750751352433
2023-04-27,48.6,50.72,48.43,49.87,5169480.0,262323204.0,457993141.00000006,0.011287243273365964,0.529999999999994,1.0741791649776955,4.641264693960274
2023-04-28,49.87,51.43,49.65,51.06,3727144.0,192720980.0,457993141.00000006,0.008137990870042308,1.1900000000000048,2.386204130739933,3.56928012833367
2023-05-04,50.67,51.11,49.35,49.77,3998773.0,203396863.0,457993141.00000006,0.008731076171291393,-1.2899999999999991,-2.526439482961218,3.446925186055617
2023-05-05,49.76,50.25,49.12,49.28,3012562.0,151647552.0,457993141.00000006,0.006577744796400782,-0.490000000000002,-0.9845288326301049,2.2704440425959467
2023-05-08,49.25,49.91,49.17,49.73,2798527.0,141228555.0,457993141.00000006,0.00611041247012911,0.44999999999999574,0.9131493506493449,1.5016233766233662
2023-05-09,49.37,50.74,49.37,49.59,3170427.0,161143796.0,457993141.00000006,0.006922433364564295,-0.13999999999999346,-0.28152020912928233,2.754876332193856
2023-05-10,49.58,49.97,48.69,49.05,3056979.0,152818098.0,457993141.00000006,0.006674726598143529,-0.5400000000000063,-1.0889292196007427,2.5811655575720933
2023-05-11,49.39,49.55,49.0,49.02,2204630.0,110263417.0,457993141.00000006,0.004813674709595705,-0.02999999999999403,-0.061162079510690415,1.121304791029556
2023-05-12,49.04,49.43,48.27,48.28,2528511.0,125416687.0,457993141.00000006,0.005520849055684875,-0.740000000000002,-1.509587923296618,2.366381068951441
2023-05-15,48.09,48.7,47.84,48.7,2369998.0,116182297.0,457993141.00000006,0.005174745619170746,0.4200000000000017,0.869925434962715,1.7812758906379442
2023-05-16,48.57,49.1,48.35,48.68,2457947.0,121811241.0,457993141.00000006,0.00536677687930702,-0.020000000000003126,-0.0410677618069899,1.5400410677618068
2023-05-17,48.5,49.15,48.43,49.01,1916233.0,95289110.0,457993141.00000006,0.004183977506335624,0.3299999999999983,0.6778964667214504,1.4790468364831528
2023-05-18,49.19,49.58,48.59,49.1,2486886.0,123907735.0,457993141.00000006,0.005429963415107126,0.09000000000000341,0.18363599265456276,2.019995919200153
2023-05-19,49.09,49.78,48.97,49.67,3091748.0,155375131.0,457993141.00000006,0.0067506425822215525,0.5700000000000003,1.1608961303462229,1.6496945010183346
2023-05-22,49.86,50.03,49.07,49.34,2221790.0,111481771.0,457993141.00000006,0.004851142519621271,-0.3299999999999983,-0.6643849406080093,1.9327561908596753
2023-05-23,49.34,49.58,48.95,49.04,1744144.0,87230223.0,457993141.00000006,0.00380823170450057,-0.30000000000000426,-0.6080259424402157,1.2768544791244334
2023-05-24,48.86,49.14,48.11,48.66,2278964.0,112638531.0,457993141.00000006,0.004975978450297359,-0.38000000000000256,-0.7748776508972322,2.1003262642740643
2023-05-25,48.66,49.17,48.11,48.7,2155106.0,106546000.0,457993141.00000006,0.004705542085836608,0.04000000000000625,0.08220304151254076,2.1783806000822077
2023-05-26,48.57,48.91,48.3,48.85,2016423.0,99595431.0,457993141.00000006,0.0044027362409778965,0.14999999999999858,0.30800821355236874,1.252566735112935
2023-05-29,49.36,49.62,48.9,49.01,2152813.0,107634377.0,457993141.00000006,0.004700535460639136,0.1599999999999966,0.327533265097224,1.4738996929375616
2023-05-30,49.1,50.15,48.81,50.09,2863227.0,144040126.0,457993141.00000006,0.006251680961309417,1.0800000000000054,2.203631911854731,2.734135890634557
2023-05-31,50.07,50.52,49.54,50.25,2541045.0,129160275.0,457993141.00000006,0.005548216277762989,0.1599999999999966,0.31942503493711527,1.9564783389898261
