date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2023-03-06,8.48,8.66,8.42,8.51,19505011.0,174165879.0,937729472.0,0.020800253785774155,,,
2023-03-07,8.52,8.56,8.23,8.24,26299877.0,230404169.0,937729472.0,0.028046337227630613,-0.2699999999999996,-3.1727379553466495,3.877790834312574
2023-03-08,8.28,8.31,8.18,8.25,11838177.0,101980991.0,937729472.0,0.012624298748712038,0.009999999999999787,0.12135922330096527,1.5776699029126307
2023-03-09,8.25,8.29,8.13,8.22,11319850.0,97164377.0,937729472.0,0.012071551911295799,-0.02999999999999936,-0.3636363636363549,1.9393939393939197
2023-03-10,8.2,8.28,8.02,8.06,13418483.0,113797044.0,937729472.0,0.014309545983854926,-0.16000000000000014,-1.9464720194647178,3.1630170316301673
2023-03-13,7.99,8.34,7.99,8.29,16862935.0,144015725.0,937729472.0,0.017982729031683884,0.22999999999999865,2.8535980148883144,4.342431761786596
2023-03-14,8.35,8.49,8.22,8.24,15624900.0,135971308.0,937729472.0,0.016662481522176153,-0.049999999999998934,-0.603136308805774,3.2569360675512615
2023-03-15,8.24,8.33,8.19,8.25,10849527.0,93533809.0,937729472.0,0.011569996810338067,0.009999999999999787,0.12135922330096527,1.699029126213599
2023-03-16,8.18,8.25,8.1,8.11,8944395.0,76316606.0,937729472.0,0.00953835329599196,-0.14000000000000057,-1.696969696969708,1.8181818181818226
2023-03-17,8.18,8.25,8.11,8.12,10463633.0,89521055.0,937729472.0,0.011158477271363825,0.009999999999999787,0.12330456226881115,1.7262638717632623
2023-03-20,8.11,8.15,7.93,7.94,11588496.0,96760366.0,937729472.0,0.012358037521508122,-0.17999999999999883,-2.216748768472887,2.709359605911338
2023-03-21,7.98,8.16,7.97,8.13,11241674.0,94956363.0,937729472.0,0.011988184583794333,0.1900000000000004,2.3929471032745564,2.392947103274564
2023-03-22,8.32,8.7,8.23,8.38,24045685.0,213002005.0,937729472.0,0.02564245415974299,0.25,3.075030750307506,5.781057810578091
2023-03-23,8.44,8.44,8.29,8.4,13385765.0,117108769.0,937729472.0,0.014274655324046379,0.019999999999999574,0.23866348448686736,1.7899761336515556
2023-03-24,8.36,8.45,8.36,8.43,11320501.0,99452733.0,937729472.0,0.01207224614136901,0.02999999999999936,0.3571428571428559,1.0714285714285696
2023-03-27,8.41,8.51,8.36,8.44,13787001.0,121405065.0,937729472.0,0.014702535658386558,0.009999999999999787,0.11862396204032066,1.7793594306049865
2023-03-28,8.42,8.64,8.39,8.49,19235754.0,171292654.0,937729472.0,0.020513116601714315,0.05000000000000071,0.5924170616113722,2.962085308056872
2023-03-29,8.48,8.52,8.33,8.46,13014396.0,114844862.0,937729472.0,0.013878625327028219,-0.02999999999999936,-0.35335689045935537,2.237926972909299
2023-03-30,8.44,8.44,8.13,8.18,22803337.0,196103522.0,937729472.0,0.024317607242699525,-0.28000000000000114,-3.309692671394815,3.664302600472798
2023-03-31,8.21,8.54,8.18,8.52,25000001.0,220046910.0,937729472.0,0.026660142126790274,0.33999999999999986,4.1564792176039145,4.400977995110018
2023-04-03,8.5,8.76,8.49,8.57,27340510.0,247112966.0,937729472.0,0.029156074130514263,0.05000000000000071,0.5868544600938996,3.169014084507037
2023-04-04,8.63,8.68,8.5,8.61,17226559.0,154488339.0,937729472.0,0.018370499717001536,0.03999999999999915,0.4667444574095514,2.1003500583430537
2023-04-06,8.55,8.64,8.47,8.59,12824001.0,114737125.0,937729472.0,0.013675587024740542,-0.019999999999999574,-0.23228803716608404,1.9744483159117299
2023-04-07,8.56,8.66,8.39,8.42,16476519.0,146494514.0,937729472.0,0.0175706528289643,-0.16999999999999993,-1.9790454016297976,3.143189755529681
2023-04-10,8.43,8.49,8.32,8.4,11706200.0,102660698.0,937729472.0,0.012483557731242982,-0.019999999999999574,-0.23752969121139111,2.0190023752969113
2023-04-11,8.34,8.41,8.28,8.36,12592888.0,109786457.0,937729472.0,0.013429126817504996,-0.040000000000000924,-0.4761904761904856,1.5476190476190568
2023-04-12,8.36,8.44,8.28,8.28,12754478.0,111098684.0,937729472.0,0.013601447305262897,-0.08000000000000007,-0.9569377990430672,1.913875598086126
2023-04-13,8.27,8.33,8.21,8.25,9286800.0,80216144.0,937729472.0,0.009903495919983199,-0.02999999999999936,-0.36231884057970065,1.4492753623188313
2023-04-14,8.28,8.3,8.08,8.1,15318562.0,130770813.0,937729472.0,0.01633580095048991,-0.15000000000000036,-1.8181818181818188,2.6666666666666745
2023-04-17,8.12,8.31,8.08,8.27,14407300.0,123357617.0,937729472.0,0.01536402601197118,0.16999999999999993,2.0987654320987703,2.8395061728395112
2023-04-18,8.3,8.52,8.26,8.48,19313339.0,169187683.0,937729472.0,0.020595853683481113,0.21000000000000085,2.539298669891177,3.143893591293831
2023-04-19,8.52,8.52,8.33,8.36,11542080.0,101116507.0,937729472.0,0.01230853923720977,-0.120000000000001,-1.4150943396226578,2.240566037735843
2023-04-20,8.37,8.37,8.27,8.33,7575597.0,65818126.0,937729472.0,0.008078659385465065,-0.02999999999999936,-0.3588516746411363,1.1961722488038236
2023-04-21,8.33,8.45,8.17,8.21,10729486.0,92975961.0,937729472.0,0.011441984410616881,-0.11999999999999922,-1.4405762304921854,3.361344537815118
2023-04-24,8.14,8.18,7.92,7.99,15046378.0,126101753.0,937729472.0,0.01604554239711472,-0.22000000000000064,-2.679658952496966,3.166869671132762
2023-04-25,8.02,8.08,7.9,8.03,12067213.0,100911740.0,937729472.0,0.012868544031428288,0.03999999999999915,0.5006257822277815,2.2528160200250276
2023-04-26,8.02,8.16,7.97,8.13,11257348.0,94915702.0,937729472.0,0.012004899425833552,0.10000000000000142,1.2453300124533273,2.3661270236612753
2023-04-27,8.05,8.12,7.93,7.96,10982503.0,91913255.0,937729472.0,0.011711803167043896,-0.17000000000000082,-2.091020910209107,2.337023370233696
2023-04-28,7.89,8.05,7.79,7.95,20443022.0,168848414.0,937729472.0,0.021800554008821853,-0.009999999999999787,-0.12562814070351536,3.266331658291466
2023-05-04,7.89,7.97,7.83,7.88,16289490.0,134326156.0,937729472.0,0.017371204048068994,-0.07000000000000028,-0.8805031446540879,1.761006289308172
2023-05-05,7.85,7.87,7.64,7.73,15360635.0,124140523.0,937729472.0,0.01638066783508325,-0.14999999999999947,-1.9035532994923776,2.91878172588833
2023-05-08,7.69,7.8,7.68,7.75,9921301.0,80512324.0,937729472.0,0.010580131366501403,0.019999999999999574,0.2587322121604174,1.552393272962485
2023-05-09,7.75,7.85,7.69,7.74,10351397.0,84269473.0,937729472.0,0.011038788167681692,-0.009999999999999787,-0.1290322580645098,2.0645161290322482
2023-05-10,7.73,7.83,7.71,7.76,8511148.0,68951550.0,937729472.0,0.009076336250632422,0.019999999999999574,0.2583979328165231,1.5503875968992262
2023-05-11,7.77,7.83,7.74,7.76,8263795.0,67172316.0,937729472.0,0.008812557615764048,0.0,0.0,1.1597938144329878
2023-05-12,7.76,7.85,7.71,7.75,11209206.0,91060073.0,937729472.0,0.01195356052539639,-0.009999999999999787,-0.12886597938144284,1.8041237113402022
2023-05-15,7.74,7.74,7.56,7.67,10122355.0,80830840.0,937729472.0,0.010794536486531586,-0.08000000000000007,-1.0322580645161339,2.322580645161298
2023-05-16,7.69,7.7,7.57,7.6,9931209.0,78878198.0,937729472.0,0.010590697313606456,-0.07000000000000028,-0.9126466753585416,1.6949152542372867
2023-05-17,7.56,7.6,7.5,7.56,10045910.0,79229416.0,937729472.0,0.010713015107197143,-0.040000000000000036,-0.5263157894736858,1.315789473684206
2023-05-18,7.56,7.6,7.44,7.45,10927393.0,85701725.0,937729472.0,0.011653033552090384,-0.10999999999999943,-1.4550264550264425,2.1164021164021065
2023-05-19,7.45,7.54,7.4,7.49,12785734.0,99839971.0,937729472.0,0.013634778880022232,0.040000000000000036,0.5369127516778427,1.879194630872479
2023-05-22,7.5,7.62,7.45,7.59,10633688.0,84080109.0,937729472.0,0.011339824882884772,0.09999999999999964,1.3351134846461887,2.2696929238985306
2023-05-23,7.57,7.61,7.46,7.47,6959895.0,54776262.0,937729472.0,0.007422071298618628,-0.1200000000000001,-1.5810276679841917,1.9762845849802417
2023-05-24,7.45,7.46,7.29,7.3,18310102.0,140975952.0,937729472.0,0.01952599608600123,-0.16999999999999993,-2.2757697456492587,2.2757697456492627
2023-05-25,7.27,7.31,7.16,7.22,14838909.0,111951357.0,937729472.0,0.01582429628488844,-0.08000000000000007,-1.0958904109588996,2.054794520547938
2023-05-26,7.21,7.23,7.12,7.21,7583950.0,56949854.0,937729472.0,0.008087567071796161,-0.009999999999999787,-0.13850415512465242,1.5235457063711957
2023-05-29,7.21,7.25,7.14,7.19,7078959.0,53213621.0,937729472.0,0.007549041820027173,-0.019999999999999574,-0.2773925104022079,1.5256588072122097
2023-05-30,7.17,7.21,7.09,7.21,7181242.0,53744754.0,937729472.0,0.0076581169883503455,0.019999999999999574,0.2781641168289273,1.6689847009735759
2023-05-31,7.19,7.24,7.15,7.15,7817332.0,58719618.0,937729472.0,0.008336446953434348,-0.05999999999999961,-0.832177531206657,1.2482662968099842
2023-06-01,7.13,7.26,7.12,7.22,8944179.0,67413328.0,937729472.0,0.009538122952373197,0.0699999999999994,0.9790209790209614,1.9580419580419535
2023-06-02,7.22,7.33,7.22,7.32,9230079.0,70415384.0,937729472.0,0.009843008325539757,0.10000000000000053,1.3850415512465464,1.5235457063711957
2023-06-05,7.33,7.37,7.28,7.29,7460580.0,57052671.0,937729472.0,0.007956004607691376,-0.03000000000000025,-0.4098360655737765,1.2295081967213095
