date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2023-03-06,4.74,4.8,4.7,4.72,11726000.0,60748347.0,874541389.0,0.013408170439375283,,,
2023-03-07,4.75,4.78,4.66,4.66,10324071.0,53343855.0,874541389.0,0.011805125669129423,-0.05999999999999961,-1.2711864406779627,2.5423728813559343
2023-03-08,4.66,4.7,4.63,4.68,9795856.0,50024582.0,874541389.0,0.011201134815587327,0.019999999999999574,0.42918454935620964,1.5021459227467873
2023-03-09,4.68,4.71,4.6,4.65,8460051.0,43114554.0,874541389.0,0.00967369996024282,-0.02999999999999936,-0.6410256410256276,2.350427350427357
2023-03-10,4.68,4.68,4.49,4.49,11880000.0,59239000.0,874541389.0,0.013584262734076272,-0.16000000000000014,-3.440860215053765,4.086021505376333
2023-03-13,4.49,4.55,4.46,4.52,9811900.0,48413617.0,874541389.0,0.011219480431017085,0.02999999999999936,0.6681514476614581,2.0044543429844066
2023-03-14,4.51,4.51,4.33,4.39,11743399.0,56631162.0,874541389.0,0.013428065438307117,-0.1299999999999999,-2.8761061946902644,3.9823008849557464
2023-03-15,4.41,4.52,4.41,4.49,10075020.0,49306827.0,874541389.0,0.011520346694534774,0.10000000000000053,2.277904328018243,2.505694760820033
2023-03-16,4.49,4.52,4.39,4.4,10261200.0,50028092.0,874541389.0,0.011733235418089514,-0.08999999999999986,-2.0044543429844075,2.895322939866367
2023-03-17,4.44,4.49,4.39,4.41,12289800.0,59701403.0,874541389.0,0.014052851191014357,0.009999999999999787,0.2272727272727204,2.2727272727272845
2023-03-20,4.43,4.49,4.39,4.43,12493701.0,60959934.0,874541389.0,0.014286003106480762,0.019999999999999574,0.45351473922901064,2.2675736961451367
2023-03-21,4.46,4.5,4.42,4.5,7482181.0,36576501.0,874541389.0,0.008555548192585314,0.07000000000000028,1.5801354401805856,1.8058690744921009
2023-03-22,4.49,4.55,4.49,4.54,8712009.0,43139214.0,874541389.0,0.009961802962764063,0.040000000000000036,0.8888888888888946,1.3333333333333246
2023-03-23,4.51,4.59,4.49,4.53,8610509.0,42683101.0,874541389.0,0.009845742132165686,-0.009999999999999787,-0.22026431718060735,2.2026431718061596
2023-03-24,4.56,4.69,4.5,4.62,12552866.0,63128145.0,874541389.0,0.014353655707883255,0.08999999999999986,1.9867549668874052,4.194260485651222
2023-03-27,4.69,4.74,4.63,4.67,13995785.0,71722022.0,874541389.0,0.016003570758387514,0.04999999999999982,1.0822510822510845,2.3809523809523876
2023-03-28,4.69,4.8,4.62,4.74,14657375.0,75600916.0,874541389.0,0.016760070117161716,0.07000000000000028,1.4989293361884481,3.8543897216274026
2023-03-29,4.75,4.92,4.7,4.73,16925500.0,88512265.0,874541389.0,0.019353572298451846,-0.009999999999999787,-0.21097046413501852,4.641350210970459
2023-03-30,4.72,4.76,4.64,4.72,14472162.0,74473876.0,874541389.0,0.01654828711600292,-0.010000000000000675,-0.21141649048627142,2.536997885835097
2023-03-31,4.75,4.98,4.73,4.95,28198977.0,149718066.0,874541389.0,0.03224430239058703,0.23000000000000043,4.872881355932224,5.296610169491526
2023-04-03,4.95,5.32,4.92,5.28,36750693.0,208660660.0,874541389.0,0.04202281728715301,0.33000000000000007,6.666666666666665,8.080808080808087
2023-04-04,5.27,5.3,5.1,5.13,23233491.0,131411244.0,874541389.0,0.026566485351329668,-0.15000000000000036,-2.840909090909094,3.7878787878787907
2023-04-06,5.11,5.14,5.04,5.04,17533536.0,97467533.0,874541389.0,0.02004883499001555,-0.08999999999999986,-1.754385964912275,1.949317738791416
2023-04-07,5.05,5.08,4.96,4.98,15061009.0,82439757.0,874541389.0,0.017221608021573007,-0.05999999999999961,-1.1904761904761862,2.3809523809523827
2023-04-10,4.95,4.97,4.73,4.79,28561148.0,149756715.0,874541389.0,0.032658429159834766,-0.1900000000000004,-3.81526104417671,4.819277108433721
2023-04-11,4.81,4.91,4.78,4.91,18111200.0,95973485.0,874541389.0,0.020709368622003548,0.1200000000000001,2.5052192066805867,2.7139874739039644
2023-04-12,4.9,4.92,4.82,4.87,11181221.0,59590536.0,874541389.0,0.012785239373044698,-0.040000000000000036,-0.8146639511201648,2.0366598778004
2023-04-13,4.86,4.91,4.8,4.82,9645007.0,51127681.0,874541389.0,0.011028645552188954,-0.04999999999999982,-1.0266940451745366,2.25872689938399
2023-04-14,4.82,4.85,4.77,4.81,9902200.0,52064101.0,874541389.0,0.011322734549273574,-0.010000000000000675,-0.20746887966806016,1.6597510373443998
2023-04-17,5.29,5.29,5.13,5.29,94323369.0,545285627.0,874541389.0,0.1078546655268708,0.4800000000000004,9.97920997920998,3.3264033264033293
2023-04-18,5.2,5.79,5.11,5.71,164520012.0,993727680.0,874541389.0,0.1881214703721701,0.41999999999999993,7.939508506616266,12.854442344045363
2023-04-19,5.59,6.05,5.55,5.94,127513301.0,813680953.0,874541389.0,0.14580590764927193,0.23000000000000043,4.028021015761829,8.756567425569177
2023-04-20,5.99,6.53,5.8,6.51,139052360.0,956145726.0,874541389.0,0.1590003191947271,0.5699999999999994,9.595959595959581,12.289562289562296
2023-04-21,6.43,6.66,6.26,6.31,85253295.0,599013492.0,874541389.0,0.09748343082708004,-0.20000000000000018,-3.0721966205837226,6.144393241167441
2023-04-24,6.48,6.64,6.37,6.47,69814145.0,495609606.0,874541389.0,0.07982943503660751,0.16000000000000014,2.535657686212356,4.278922345483354
2023-04-25,6.47,7.12,6.25,7.12,97404287.0,706542306.0,874541389.0,0.11137756111392001,0.6500000000000004,10.046367851622872,13.446676970633698
2023-04-26,7.13,7.33,6.75,7.02,105706421.0,811227142.0,874541389.0,0.12087068986051157,-0.10000000000000053,-1.404494382022481,8.146067415730338
2023-04-27,6.7,6.8,6.43,6.54,83949378.0,605087331.0,874541389.0,0.09599245851130322,-0.47999999999999954,-6.8376068376068355,5.270655270655272
2023-04-28,6.45,6.66,6.39,6.59,53790720.0,387299361.0,874541389.0,0.06150734622349589,0.04999999999999982,0.7645259938837912,4.128440366972484
2023-05-04,6.67,7.01,6.61,6.97,79492592.0,592083364.0,874541389.0,0.09089631777278868,0.3799999999999999,5.766312594840661,6.069802731411221
2023-05-05,6.86,6.97,6.52,6.72,57448635.0,420570185.0,874541389.0,0.0656900127570749,-0.25,-3.5868005738880937,6.456241032998568
2023-05-08,6.71,6.8,6.54,6.61,43663696.0,317301391.0,874541389.0,0.04992753521926222,-0.10999999999999943,-1.636904761904756,3.8690476190476155
2023-05-09,6.55,6.9,6.5,6.67,43903607.0,323099300.0,874541389.0,0.05020186300182072,0.05999999999999961,0.9077155824508187,6.051437216338885
2023-05-10,6.62,6.8,6.53,6.7,31070816.0,226045327.0,874541389.0,0.03552812524462464,0.03000000000000025,0.4497751124437732,4.047976011993996
2023-05-11,6.66,6.66,6.46,6.52,24825914.0,177593708.0,874541389.0,0.028387351716294813,-0.1800000000000006,-2.68656716417911,2.9850746268656745
2023-05-12,6.47,6.71,6.4,6.52,22696151.0,163523741.0,874541389.0,0.02595206045759831,0.0,0.0,4.754601226993859
2023-05-15,6.53,6.57,6.31,6.46,21916133.0,153806007.0,874541389.0,0.025060143837286126,-0.05999999999999961,-0.9202453987730008,3.9877300613497035
2023-05-16,6.44,6.57,6.3,6.31,15719927.0,110439323.0,874541389.0,0.017975052064688503,-0.15000000000000036,-2.3219814241486114,4.1795665634675
2023-05-17,6.29,6.36,6.27,6.31,13192648.0,91177107.0,874541389.0,0.015085218568197462,0.0,0.0,1.4263074484944651
2023-05-18,6.3,6.5,6.26,6.42,19353089.0,135808013.0,874541389.0,0.022129414620535474,0.11000000000000032,1.7432646592709933,3.803486529318546
2023-05-19,6.42,7.02,6.39,6.67,42918187.0,315835495.0,874541389.0,0.04907507813789703,0.25,3.89408099688473,9.81308411214953
2023-05-22,6.66,6.78,6.48,6.68,25092402.0,182333956.0,874541389.0,0.028692069141166742,0.009999999999999787,0.14992503748125774,4.497751124437778
2023-05-23,6.67,6.78,6.6,6.63,17193811.0,125862113.0,874541389.0,0.01966037424444871,-0.04999999999999982,-0.7485029940119681,2.694610778443123
2023-05-24,6.55,6.69,6.42,6.52,16188839.0,116046074.0,874541389.0,0.01851123251983675,-0.11000000000000032,-1.6591251885369585,4.072398190045256
2023-05-25,6.44,6.56,6.38,6.46,13697986.0,96715387.0,874541389.0,0.015663050568324788,-0.05999999999999961,-0.9202453987730008,2.7607361963190145
2023-05-26,6.49,6.57,6.36,6.54,13096655.0,93013239.0,874541389.0,0.014975454752319333,0.08000000000000007,1.238390092879249,3.250773993808049
2023-05-29,6.59,6.88,6.55,6.7,26631299.0,196641170.0,874541389.0,0.030451730855702245,0.16000000000000014,2.4464831804281273,5.045871559633029
2023-05-30,6.75,6.76,6.55,6.71,16903484.0,123266080.0,874541389.0,0.01932839796104836,0.009999999999999787,0.14925373134329067,3.134328358208954
2023-05-31,6.73,6.87,6.61,6.7,25434369.0,187026491.0,874541389.0,0.029083093516114877,-0.009999999999999787,-0.14903129657227732,3.8748137108792817
2023-06-01,6.67,6.82,6.61,6.64,14113238.0,103377766.0,874541389.0,0.01613787314987787,-0.0600000000000005,-0.8955223880597107,3.134328358208954
2023-06-02,6.62,6.82,6.62,6.81,21766319.0,160992016.0,874541389.0,0.02488883805132292,0.16999999999999993,2.5602409638554313,3.012048192771087
