date,code,name,close,score,status,risk_tags,ret3_fmt,ret5_fmt,ret10_fmt,ret5_rank_pct_fmt,ret10_rank_pct_fmt,ma5,ma10,ma20,ma5_slope_2_fmt,ma10_slope_3_fmt,amount_ma20,amount_ratio_5_20,up_down_amount_ratio10,dist_to_10d_high_fmt,is_5d_high,is_10d_high,max_dd10_fmt,turnover_ma5,limit_up_count_3,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,candidate
2026-06-18,600667,太极实业,20.92,94,短期过热,3日涨幅过热,20.72%,19.47%,27.87%,96.17%,97.88%,18.336,17.181,15.5595,7.64%,7.35%,5103633322.2,1.2684633367448468,2.116317493206683,0.00%,True,True,-7.49%,0.1703582706329721,1.0,True,True,True,True,True,True,True
2026-06-18,603211,晋拓股份,36.44,92,短期过热,3日涨幅过热,19.99%,10.12%,32.03%,87.61%,98.45%,32.269999999999996,31.296000000000003,29.627999999999997,3.52%,6.92%,300825554.2,1.3026663942899837,2.1863237675710443,0.00%,True,True,-10.00%,0.04534731869554976,1.0,True,True,True,True,True,True,True
2026-06-18,002297,博云新材,28.36,89,短期过热,3日涨幅过热、5日涨幅过热,22.77%,32.59%,36.48%,99.41%,98.81%,24.716,22.639999999999997,22.8655,10.68%,7.67%,2496287854.5,1.3419446701874742,7.639104073497829,0.00%,True,True,-3.08%,0.24226751581371714,1.0,True,False,True,True,True,True,False
2026-06-18,002831,裕同科技,32.33,89,回踩观察,无明显技术风险,6.00%,6.28%,13.96%,80.27%,93.06%,30.838,29.583999999999996,28.927,3.07%,2.85%,593295883.75,0.9646357152903474,2.6849319889771865,0.00%,True,True,-2.50%,0.02630847197115118,0.0,True,True,True,False,True,True,False
2026-06-18,603663,三祥新材,87.49,88,短期过热,3日涨幅过热、连续涨停风险,15.97%,17.61%,30.78%,94.98%,98.25%,79.61,74.575,67.6485,4.69%,7.71%,1764450053.5,1.0431197440523075,1.0198240991976955,0.00%,True,True,-4.15%,0.055338229730315124,2.0,True,True,True,False,True,True,False
2026-06-18,002989,中天精装,37.37,87,短期过热,3日涨幅过热、5日涨幅过热、连续涨停风险,33.13%,38.10%,24.98%,99.70%,97.26%,31.412,29.716,29.779499999999995,11.31%,5.93%,262092740.6,1.5718357366819797,3.5131445030642223,0.00%,True,True,-8.01%,0.06847309519929481,3.0,True,False,True,True,True,True,False
2026-06-18,600362,江西铜业,53.31,87,短期过热,5日涨幅过热,12.56%,32.81%,15.77%,99.44%,93.85%,47.736000000000004,44.589999999999996,44.9275,9.72%,1.53%,2913110809.55,1.5016265987066013,1.566558176409488,0.00%,True,True,-9.51%,0.04415065528054468,1.0,True,False,True,True,True,True,False
2026-06-18,600909,华安证券,8.97,87,强趋势池,无明显技术风险,12.69%,23.38%,19.12%,97.52%,95.37%,8.292,7.754,7.5635,7.91%,5.54%,1784954241.15,1.3787113110611071,4.572999065711645,-2.18%,False,False,-3.43%,0.05957595988500538,0.0,True,True,True,True,True,True,True
2026-06-18,002768,国恩股份,54.5,87,强趋势池,无明显技术风险,6.26%,20.26%,25.72%,96.43%,97.49%,51.734,47.618,45.4475,7.45%,6.59%,549826926.3,1.60324376423687,20.77490455926104,-1.30%,False,False,-4.68%,0.06600332571645588,0.0,True,True,True,True,True,True,True
2026-06-18,603995,甬金股份,22.57,87,强趋势池,无明显技术风险,5.91%,18.60%,22.66%,95.67%,96.60%,21.248,20.099,19.586,5.43%,4.23%,243591723.75,1.332086156313839,8.643368441986668,-1.31%,False,False,-4.07%,0.04194387353168898,0.0,True,True,True,True,True,True,True
2026-06-18,603125,常青科技,28.72,87,强趋势池,无明显技术风险,11.32%,17.46%,18.43%,94.94%,94.98%,27.101999999999997,25.602999999999998,25.31,6.14%,5.40%,203727226.35,1.274184840439713,3.557875266778343,-0.90%,False,False,-4.28%,0.023963973099008162,1.0,True,True,True,True,True,True,True
2026-06-18,600769,祥龙电业,19.16,87,短期过热,3日涨幅过热,16.97%,16.97%,23.06%,94.61%,96.83%,17.088,16.495,16.365,5.53%,3.14%,444300660.15,0.7285934990299384,3.8699809638037848,0.00%,True,True,-3.79%,0.05159172397681776,1.0,True,True,True,False,True,True,False
2026-06-18,002937,兴瑞科技,42.6,87,强趋势池,无明显技术风险,5.39%,15.26%,22.55%,93.72%,96.46%,40.18,37.757,35.661,5.51%,5.18%,475386257.95,1.748274626161814,3.3394551830874826,-1.57%,False,False,-2.39%,0.06720875808733655,0.0,True,True,True,True,True,True,True
2026-06-18,000831,中国稀土,61.9,87,强趋势池,无明显技术风险,5.99%,15.08%,15.40%,93.59%,93.82%,59.279999999999994,56.584,53.765,4.63%,4.70%,2743630218.75,1.8154402800933211,2.462680717453408,-2.37%,False,False,-4.77%,0.0795346914075347,0.0,True,True,True,True,True,True,True
2026-06-18,600345,长江通信,64.78,87,强趋势池,无明显技术风险,8.38%,13.63%,19.43%,92.04%,95.51%,61.25,58.924,54.895,3.61%,5.25%,1004556912.85,1.5027286564752447,1.891782077392589,-1.33%,False,False,-4.98%,0.1171272307640538,0.0,True,True,True,True,True,True,True
2026-06-18,000920,沃顿科技,15.01,87,强趋势池,无明显技术风险,6.23%,11.85%,22.23%,89.79%,96.43%,14.551999999999998,13.654999999999998,12.833000000000002,4.26%,6.05%,308893151.7,1.5614618574271228,1.3842087447157434,-2.47%,False,False,-4.58%,0.07092163608485198,0.0,True,True,True,True,True,True,True
2026-06-18,605389,长龄液压,91.42,87,回踩观察,无明显技术风险,5.03%,11.15%,10.28%,88.90%,90.09%,87.426,85.562,85.65,3.01%,2.39%,177394041.7,1.0909084969565808,1.6438533655341325,-0.09%,True,True,-3.39%,0.012527917807914119,0.0,True,False,True,False,True,True,False
2026-06-18,603072,天和磁材,39.85,87,强趋势池,无明显技术风险,3.83%,11.00%,12.38%,88.76%,91.97%,38.483999999999995,37.269,36.991,2.53%,2.30%,167887703.15,1.7422431143671286,3.6651163087390164,-2.73%,False,False,-3.96%,0.06010324962370274,0.0,True,True,True,True,True,True,True
2026-06-18,002119,康强电子,34.51,87,强趋势池,无明显技术风险,2.22%,10.61%,40.86%,88.30%,99.21%,33.332,30.101999999999997,27.065999999999995,5.12%,11.23%,1746772713.6,1.8599718856977685,2.507788786149303,-2.57%,False,False,-2.58%,0.262612326664606,0.0,True,True,True,True,True,True,True
2026-06-18,002520,日发精机,6.98,87,强趋势池,无明显技术风险,4.49%,8.22%,11.50%,84.27%,91.37%,6.7780000000000005,6.641,6.356999999999999,2.54%,4.88%,312004507.2,1.2047500972767997,1.882415582613217,-1.27%,False,False,-4.90%,0.07740968716957998,0.0,True,True,True,True,True,True,True
2026-06-18,000795,英洛华,9.84,87,强趋势池,无明显技术风险,6.03%,7.66%,8.97%,83.18%,88.96%,9.49,9.343,9.1235,1.30%,2.12%,259048757.25,1.6716666043762693,2.119544453156017,-0.10%,False,False,-3.41%,0.0409594836762173,0.0,True,True,True,True,True,True,True
2026-06-18,002057,中钢天源,12.18,87,强趋势池,无明显技术风险,0.66%,7.22%,24.03%,82.19%,96.99%,11.968,11.282,10.344999999999999,2.82%,6.66%,429291754.5,1.722681256390169,3.023398575228988,-2.56%,False,False,-2.98%,0.08191895631121285,0.0,True,True,True,True,True,True,True
2026-06-18,603011,合锻智能,39.55,86,短期过热,3日涨幅过热,15.58%,17.71%,22.60%,95.04%,96.56%,35.086,33.230000000000004,28.9195,6.04%,5.71%,1966945608.95,1.1442225156400911,2.257236403957039,0.00%,True,True,-11.31%,0.1319393147089675,1.0,True,True,True,False,True,True,False
2026-06-18,000823,超声电子,21.6,86,强趋势池,无明显技术风险,7.52%,13.09%,24.07%,91.24%,97.03%,20.432000000000002,19.243000000000002,17.903,7.06%,7.36%,1497483962.2,1.336172357171973,1.3886839605682963,-3.96%,False,False,-4.40%,0.16598215988090997,1.0,True,True,True,True,True,True,True
2026-06-18,600458,时代新材,16.71,86,强趋势池,无明显技术风险,5.09%,9.72%,21.17%,87.18%,96.17%,16.57,15.781,14.288,3.76%,8.04%,765901245.3,1.6867922476010107,1.5177031023875596,-4.89%,False,False,-4.46%,0.0895822086504495,1.0,True,True,True,True,True,True,True
2026-06-18,603823,百合花,46.71,86,强趋势池,无明显技术风险,5.80%,9.57%,73.45%,86.91%,99.87%,45.02,40.402,33.558,5.71%,15.51%,815609353.65,1.4551914635217842,7.896352122927193,-4.18%,False,False,-0.36%,0.06408220364757197,0.0,True,True,True,True,True,True,True
2026-06-18,600999,招商证券,18.58,86,强趋势池,无明显技术风险,0.43%,7.77%,8.46%,83.34%,88.70%,18.56,17.801,17.564500000000002,3.62%,2.91%,1522966452.5,1.4670055056908748,4.364097838598522,-3.73%,False,False,-2.72%,0.01624955819621784,0.0,True,True,True,True,True,True,True
2026-06-18,600353,旭光电子,42.01,85,短期过热,3日涨幅过热、5日涨幅过热、连续涨停风险,33.11%,40.31%,58.89%,99.83%,99.80%,35.034,30.927,27.28,15.14%,15.38%,1671752064.05,0.8152236588829711,1.362846691875928,0.00%,True,True,-6.65%,0.04927634546966804,3.0,True,True,True,False,True,True,False
2026-06-18,002636,金安国纪,104.41,85,强趋势池,无明显技术风险,7.26%,23.12%,93.35%,97.36%,100.00%,97.76599999999999,84.357,67.2255,8.40%,20.80%,3783479347.5,1.5088216764212166,8.473042845440713,-0.83%,False,False,-5.70%,0.08247023409692239,0.0,True,True,True,True,True,True,True
2026-06-18,002903,宇环数控,54.25,85,强趋势池,无明显技术风险,8.72%,22.02%,24.57%,96.99%,97.12%,51.208000000000006,48.9,45.86,7.42%,6.50%,470476971.85,1.256972470883327,2.5301916419617196,-1.18%,False,False,-7.68%,0.10830184889232704,0.0,True,True,True,True,True,True,True
2026-06-18,603588,高能环境,16.01,85,强趋势池,无明显技术风险,13.87%,17.03%,16.27%,94.71%,94.12%,14.898000000000001,14.341,13.580000000000002,4.74%,4.91%,808618357.3,1.362817728847522,1.8752568279622106,-0.93%,False,False,-5.46%,0.04876686386565894,0.0,True,True,True,True,True,True,True
2026-06-18,605589,圣泉集团,69.82,85,强趋势池,无明显技术风险,8.84%,15.69%,29.73%,93.99%,98.08%,65.15,60.09000000000001,54.2375,5.30%,7.49%,3693863899.35,1.5218302636946612,1.4348243976309598,-2.76%,False,False,-5.75%,0.10285160943979643,0.0,True,True,True,True,True,True,True
2026-06-18,600366,宁波韵升,14.91,85,强趋势池,无明显技术风险,12.19%,14.69%,19.47%,93.36%,95.54%,13.989999999999998,13.518,13.14,3.38%,4.52%,677040199.6,1.975725928815291,3.5973451007091417,-1.00%,False,False,-5.11%,0.0862151459345261,0.0,True,True,True,True,True,True,True
2026-06-18,002965,祥鑫科技,43.92,85,强趋势池,无明显技术风险,8.52%,13.96%,20.43%,92.56%,95.97%,41.878,39.434,36.996,6.53%,6.90%,515049458.8,1.7384059827692804,2.9932009032617817,-0.79%,False,False,-6.86%,0.11314512757376997,0.0,True,True,True,True,True,True,True
2026-06-18,002023,海特高新,12.6,85,强趋势池,无明显技术风险,3.45%,13.31%,10.72%,91.61%,90.71%,12.193999999999999,11.746,11.6595,4.87%,2.75%,427321338.65,1.2728295809385974,4.999588050788547,-1.25%,False,False,-6.83%,0.060391622449543346,0.0,True,True,True,True,True,True,True
2026-06-18,002409,雅克科技,150.16,85,强趋势池,无明显技术风险,8.16%,11.39%,27.49%,89.23%,97.82%,141.532,129.705,122.52550000000001,6.11%,7.87%,4203116672.75,1.4179541242429101,1.4847734515635858,-0.95%,False,False,-8.16%,0.13365533105866373,0.0,True,True,True,True,True,True,True
2026-06-18,002446,盛路通信,11.72,85,强趋势池,无明显技术风险,9.53%,8.72%,19.84%,85.59%,95.74%,11.278,10.986999999999998,10.488499999999998,3.32%,5.90%,680737363.15,1.3306440404688107,1.0355407494669395,-2.58%,False,False,-3.49%,0.09439277057497415,1.0,True,True,True,True,True,True,True
2026-06-18,603328,依顿电子,15.14,85,强趋势池,无明显技术风险,6.32%,8.30%,15.84%,84.53%,93.89%,14.453999999999999,13.943999999999999,13.3005,4.66%,4.87%,763973746.6,1.2938127101866566,3.1965016430275037,-2.01%,False,False,-5.50%,0.06862961160218346,0.0,True,True,True,True,True,True,True
2026-06-18,002584,西陇科学,8.86,85,强趋势池,无明显技术风险,7.39%,7.79%,18.29%,83.41%,94.88%,8.396,8.084999999999999,7.969499999999999,2.49%,4.48%,319523926.55,1.5611904128310732,3.2517188612233086,-1.56%,False,False,-5.17%,0.12701011870747442,0.0,True,True,True,True,True,True,True
2026-06-18,603500,祥和实业,14.1,85,强趋势池,无明显技术风险,4.91%,7.47%,26.80%,82.68%,97.69%,13.475999999999999,13.219,11.8295,2.96%,7.76%,373085888.85,1.5038262919281138,1.250506046083115,-2.42%,False,False,-6.02%,0.12688033831091955,0.0,True,True,True,True,True,True,True
2026-06-18,002601,龙佰集团,15.48,85,强趋势池,无明显技术风险,-1.34%,7.43%,10.97%,82.58%,91.01%,15.352,14.896,14.8125,1.23%,2.11%,540978642.15,1.502392635261636,2.8461306724236617,-2.76%,False,False,-5.35%,0.02680429016061962,0.0,True,True,True,True,True,True,True
2026-06-18,603257,XD中国瑞,70.45,85,强趋势池,无明显技术风险,0.76%,7.38%,10.37%,82.52%,90.28%,69.72200000000001,67.323,64.20250000000001,2.71%,2.88%,149306474.75,1.3960902241448174,1.0963933698010793,-0.47%,False,False,-1.19%,0.12014080321285134,0.0,True,True,True,True,True,True,True
2026-06-18,002368,太极股份,17.04,85,强趋势池,无明显技术风险,4.99%,6.57%,8.12%,80.73%,88.37%,16.636000000000003,16.177,16.0,2.70%,2.35%,181972441.5,1.2172798209117834,2.2700389127644947,-2.24%,False,False,-3.60%,0.02148014827976062,0.0,True,True,True,True,True,True,True
2026-06-18,603283,赛腾股份,62.6,84,趋势观察池,无明显技术风险,13.30%,22.91%,26.98%,97.29%,97.75%,57.827999999999996,53.25699999999999,51.6425,9.54%,7.38%,1448608583.2,1.5444828548907632,1.3904068632332707,-4.41%,False,False,-5.77%,0.11132187682265679,1.0,True,True,True,True,True,True,True
2026-06-18,600601,方正科技,14.4,84,趋势观察池,无明显技术风险,7.06%,22.87%,14.10%,97.26%,93.09%,13.838,12.965,12.9195,8.02%,4.18%,3677525112.45,1.247843664932252,2.818972284729159,-4.45%,False,False,-5.64%,0.08053932078278786,0.0,True,True,True,True,True,True,True
2026-06-18,000593,德龙汇能,25.2,84,趋势观察池,无明显技术风险,11.16%,22.15%,23.59%,97.06%,96.86%,23.477999999999998,22.161,21.7215,7.17%,5.85%,442095362.55,1.3735356736100646,2.9288810719976506,-4.18%,False,False,-5.76%,0.07246425117381168,0.0,True,True,True,True,True,True,True
2026-06-18,002171,楚江新材,15.38,84,趋势观察池,无明显技术风险,11.69%,19.41%,21.68%,96.13%,96.27%,14.416,13.719,12.822,7.13%,5.69%,1630285318.55,1.723864478335365,15.768751534192859,-3.63%,False,False,-5.51%,0.12165431083579947,0.0,True,True,True,True,True,True,True
2026-06-18,000630,铜陵有色,7.65,84,趋势观察池,无明显技术风险,-0.13%,18.60%,15.21%,95.70%,93.75%,7.508,6.895999999999999,6.808,6.86%,3.13%,4034254702.55,1.5385109112413744,1.8180409374724449,-4.61%,False,False,-7.92%,0.07457566687367785,0.0,True,True,True,True,True,True,True
2026-06-18,603139,康惠股份,45.21,84,趋势观察池,无明显技术风险,14.69%,13.82%,17.49%,92.37%,94.61%,41.071999999999996,39.415,38.635000000000005,6.06%,3.99%,190185986.05,1.6782603357330808,3.447285848789492,-3.64%,False,False,-8.16%,0.07857741690028029,1.0,True,True,True,True,True,True,True
2026-06-18,000969,安泰科技,25.08,84,趋势观察池,无明显技术风险,3.72%,13.69%,14.73%,92.17%,93.46%,24.621999999999996,22.987000000000002,22.982,5.88%,4.12%,1590030576.8,1.275264615276045,1.4756793569199602,-3.24%,False,False,-6.06%,0.07865648796916204,0.0,True,True,True,True,True,True,True
2026-06-18,002849,威星智能,17.9,84,趋势观察池,无明显技术风险,-0.28%,13.43%,11.25%,91.74%,91.21%,17.628,16.869999999999997,16.845000000000002,4.98%,3.53%,152865671.8,1.6849238208103698,2.424284110444925,-4.23%,False,False,-5.94%,0.0664617913341521,0.0,True,True,True,True,True,True,True
2026-06-18,603527,众源新材,14.7,84,趋势观察池,无明显技术风险,1.24%,9.70%,8.09%,87.14%,88.30%,14.495999999999999,13.89,13.780000000000001,3.35%,2.42%,364895449.9,1.3500938160095155,1.5057603118285448,-4.85%,False,False,-5.04%,0.10776356842514392,0.0,True,True,True,True,True,True,True
2026-06-18,000668,荣丰控股,22.26,84,趋势观察池,无明显技术风险,10.42%,8.64%,18.91%,85.29%,95.27%,21.19,21.014,19.7625,1.86%,3.71%,93587360.6,1.2705491493474175,1.6964039583144317,-4.71%,False,False,-9.65%,0.03786634045639152,0.0,True,True,True,True,True,True,True
2026-06-18,600487,亨通光电,111.01,84,趋势观察池,无明显技术风险,11.82%,8.41%,13.43%,84.77%,92.76%,105.15799999999999,103.168,90.591,2.48%,5.86%,18273345927.5,1.2315458828988997,1.4092846031898574,-4.84%,False,False,-9.24%,0.0881238897997791,0.0,True,True,True,True,True,True,True
2026-06-18,605128,上海沿浦,26.0,84,回踩观察,无明显技术风险,5.31%,7.22%,17.06%,82.15%,94.38%,24.924,24.378,23.6345,1.86%,3.60%,162514497.7,1.106015709021879,5.35243850507514,-1.22%,False,False,-3.89%,0.02299365804753096,0.0,True,True,True,False,True,True,False
2026-06-18,002436,兴森科技,52.06,83,短期过热,3日涨幅过热、5日涨幅过热,29.86%,41.66%,27.38%,99.90%,97.79%,44.37,40.892999999999994,39.7015,13.18%,5.43%,7656235296.5,1.2100769024477696,2.223059088774464,-0.99%,False,False,-3.67%,0.13848007017127908,1.0,True,True,True,True,True,True,True
2026-06-18,001359,平安电工,132.2,83,短期过热,5日涨幅过热,12.18%,35.73%,43.28%,99.64%,99.31%,121.548,108.7,103.525,12.61%,10.94%,333400379.35,1.8333681934966282,13.903893243171819,-1.16%,False,False,-4.20%,0.11138014994598577,0.0,True,True,True,True,True,True,True
2026-06-18,002491,通鼎互联,31.58,83,短期过热,3日涨幅过热、5日涨幅过热、连续涨停风险,30.87%,31.26%,17.70%,99.21%,94.65%,26.65,25.812,24.7025,9.84%,4.06%,4666673405.15,0.9378312718370584,1.5268574419357999,0.00%,True,True,-14.55%,0.1450426018114337,2.0,True,True,True,False,True,True,False
2026-06-18,605289,罗曼股份,138.51,83,短期过热,3日涨幅过热、5日涨幅过热,16.83%,30.83%,21.86%,99.17%,96.36%,125.694,116.01199999999999,114.03899999999999,10.47%,6.52%,587905474.4,1.3150224811038094,3.695208500507009,-1.63%,False,False,-4.35%,0.04050110992868502,1.0,True,True,True,True,True,True,True
2026-06-18,600176,中国巨石,53.5,83,短期过热,3日涨幅过热、5日涨幅过热,16.89%,30.27%,39.36%,99.11%,99.11%,49.024,43.72,41.7165,12.72%,10.78%,7489458399.85,1.3028026764919902,2.441432798800498,-2.71%,False,False,-3.79%,0.050108143595738765,1.0,True,True,True,True,True,True,True
2026-06-18,002281,光迅科技,266.2,83,短期过热,3日涨幅过热、5日涨幅过热,18.06%,29.60%,20.69%,99.01%,96.03%,233.73000000000002,222.144,217.67649999999998,9.38%,3.67%,12820597123.45,0.8940008444876316,2.8704753258164417,0.00%,True,True,-10.98%,0.06414884835895607,1.0,True,True,True,False,True,True,False
2026-06-18,002515,金字火腿,9.63,83,短期过热,3日涨幅过热、5日涨幅过热,16.30%,27.89%,39.16%,98.71%,99.07%,8.803999999999998,7.970000000000001,7.3125,10.41%,10.36%,677108971.1,1.672583363000136,15.982981594380698,-2.13%,False,False,0.00%,0.115215225640135,1.0,True,True,True,True,True,True,True
2026-06-18,002913,奥士康,70.03,83,短期过热,5日涨幅过热,14.22%,27.86%,30.14%,98.68%,98.18%,63.99000000000001,57.86800000000001,56.370000000000005,11.44%,7.44%,524398194.1,1.3151785268514522,3.3840225135879125,-0.89%,False,False,-4.34%,0.035863725275409104,0.0,True,True,True,True,True,True,True
2026-06-18,000691,亚太实业,12.23,83,短期过热,3日涨幅过热,16.37%,23.16%,40.25%,97.39%,99.14%,11.088000000000001,10.165000000000001,9.3995,8.81%,9.21%,158061785.95,1.8005312485209208,25.446507880648333,-2.00%,False,False,-3.44%,0.07967253193924577,0.0,True,True,True,True,True,True,True
2026-06-18,002426,胜利精密,4.13,83,趋势观察池,无明显技术风险,6.99%,21.11%,13.77%,96.70%,92.99%,3.938,3.7949999999999995,3.6905,6.89%,3.83%,904847837.3,1.4398091742004766,1.7406992345262158,-1.20%,False,False,-10.73%,0.09766705520652116,0.0,True,True,True,True,True,True,True
2026-06-18,000070,特发信息,20.73,83,趋势观察池,无明显技术风险,10.21%,17.32%,11.87%,94.88%,91.64%,19.357999999999997,19.058,18.463500000000003,6.04%,3.56%,1689633803.9,1.3204396895056698,2.1241169651001597,-2.22%,False,False,-14.16%,0.13512181366993872,0.0,True,True,True,True,True,True,True
2026-06-18,002955,鸿合科技,34.77,83,趋势观察池,无明显技术风险,6.43%,13.15%,37.21%,91.44%,98.88%,33.28,31.036,27.792,5.07%,8.97%,228498230.9,1.693683204791937,,-0.91%,False,False,0.00%,0.060280878937934504,0.0,True,True,True,True,True,True,True
2026-06-18,603980,吉华集团,5.85,83,趋势观察池,无明显技术风险,-1.18%,8.53%,4.84%,84.96%,83.84%,5.826,5.654999999999999,5.642,3.12%,1.62%,96568554.25,1.2368354888154494,1.0975777289095543,-2.82%,False,False,-3.92%,0.0303925090217184,0.0,True,True,True,True,True,True,True
